price_inr,rating_stars,ram_gb,battery_capacity_mah
55918,4.6,12,6000
83541,4.4,8,4500
15694,4.8,6,4500
59750,4.7,12,5000
65292,4.2,16,4500
87898,4.2,12,6000
30462,4.8,12,5000
27356,4.2,16,4500
32055,4.8,8,5000
45390,4.7,6,6000
71172,4.4,16,4000
81995,4.8,4,6000
88555,3.9,12,5000
29565,3.9,4,6000
42816,4.6,12,4500
73314,4.8,16,6000
88446,4.0,16,4000
63618,4.1,12,4500
28490,4.5,8,4500
19771,4.0,12,6000
38487,4.6,8,4500
25435,4.3,6,4000
30190,4.5,12,4000
73082,4.4,16,4000
84070,3.8,8,4000
87256,4.0,6,4000
81918,4.4,12,6000
13747,3.9,16,5000
31458,4.4,16,4500
31310,4.0,12,4000
